2018-03-20 09:24;0;A;Wersja oprogramowania;;M2018/0332#00;;;
2018-03-20 09:40;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-20 09:40;0;A;SPA-5 Mode;;Mode: 2-Diag ;;;
2018-03-20 09:44;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-20 09:44;0;A;ELS-95 Diagn.;1;"Stan czujnika ko‘?a: Usterka transmisji 
Poziom F1: 0,6, Poziom F2: 0,6 
Status A ?:  
STS:";;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018-03-20 09:44;0;A;ELS-95 Diagn.;2;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 09:44;0;A;ELS-95 Diagn.;3;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 09:44;0;A;ELS-95 Diagn.;4;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 09:45;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-20 09:45;0;A;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 09:45;0;A;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 09:45;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 09:45;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 09:45;0;A;Alarm;7;Usterka modu‘?u EOD;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 09:45;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 10:00;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-20 10:00;0;A;ELS-95 Diagn.;1;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:00;0;A;ELS-95 Diagn.;2;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:00;0;A;ELS-95 Diagn.;3;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:00;0;A;ELS-95 Diagn.;4;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:05;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-20 10:05;0;A;ELS-95 Diagn.;1;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:05;0;A;ELS-95 Diagn.;2;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:05;0;A;ELS-95 Diagn.;3;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:05;0;A;ELS-95 Diagn.;4;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 10:06;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-20 10:06;0;A;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 10:06;0;A;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 10:06;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 10:06;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 10:06;0;A;Alarm;7;Usterka modu‘?u EOD;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 10:06;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 10:06;0;A;Alarm;7;Usterka modu‘?u EOD;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-20 10:06;0;A;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-20 10:07;0;A;Alarm;51;Amber road signals hardware failure;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-20 10:13;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-20 10:14;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-20 10:14;0;A;Alarm;60;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-20 10:20;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 10:20;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 14:51;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-20 14:52;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-20 14:52;0;A;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 14:52;0;A;Alarm;61;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 14:52;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 14:52;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 14:57;0;A;Alarm;61;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-20 14:57;0;A;Alarm;51;Amber road signals hardware failure;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-20 15:00;0;A;ELS-95 Diagn.;1;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 15:00;0;A;ELS-95 Diagn.;2;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 15:00;0;A;ELS-95 Diagn.;3;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 15:00;0;A;ELS-95 Diagn.;4;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 15:00;0;A;Wersja oprogramowania;;M2018/0332#00;;;
2018-03-20 15:01;0;A;ELS-95 Diagn.;6;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0, Poziom F2: 0 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-20 15:01;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-20 15:01;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-20 15:01;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 15:01;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 15:15;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-20 15:16;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-20 15:16;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 15:16;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 15:16;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-20 15:17;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-20 15:41;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 15:41;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-20 16:16;0;A;Alarm;7;Usterka modu‘?u EOD;Alarm aktywny!;Pierwsza kategoria;0
2018-03-20 16:16;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 07:35;0;A;Alarm;7;Usterka modu‘?u EOD;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-21 07:35;0;A;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-21 07:35;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 07:35;0;A;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-21 15:07;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:07;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:07;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:07;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:08;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:09;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:10;0;A;Alarm;9;Zagro‘•enie po‘•arem;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 15:23;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;1;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;2;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;3;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;4;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;5;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;6;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;7;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;ELS-95 Diagn.;8;Stan czujnika ko‘?a: Usterka transmisji ;;;
Poziom F1: 0,6, Poziom F2: 0,6 ;;;;;;;;
Status A ?:  ;;;;;;;;
STS:;;;;;;;;
2018-03-21 15:23;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 15:23;0;A;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 15:23;0;A;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 15:23;0;A;Alarm;61;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 15:23;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:23;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:24;0;A;Alarm;51;Amber road signals hardware failure;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-21 15:24;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:24;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:24;0;A;Wersja oprogramowania;;M2018/0332#00;;;
2018-03-21 15:25;0;A;Alarm;60;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-21 15:25;0;A;Alarm;61;Not Recognized event;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-21 15:26;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:26;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:33;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:33;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:36;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 15:36;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 15:36;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:36;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:37;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:37;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:37;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:37;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:40;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:40;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 16:43;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 16:44;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 16:44;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 16:44;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 16:46;0;A;SPA-5 Mode;;Mode: 2-Diag ;;;
 Mod Num 4, Err Num 156 ;;;;;;;;
 Mod Num 9, Err Num 166 ;;;;;;;;
 Mod Num 11, Err Num 154 ;;;;;;;;
2018-03-21 16:46;0;A;SPA-5 Mode;;Mode: 2-Diag ;;;
 Mod Num 15, Err Num 154 ;;;;;;;;
 Mod Num 16, Err Num 158 ;;;;;;;;
2018-03-21 16:53;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 16:54;0;A;SPA-5 Mode;;Mode: 2-Diag ;;;
 Mod Num 1, Err Num 196 ;;;;;;;;
2018-03-21 16:56;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 16:56;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 16:56;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 16:56;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 16:57;0;A;SPA-5 Mode;;Mode: 2-Diag ;;;
 Mod Num 16, Err Num 154 ;;;;;;;;
2018-03-21 17:00;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 17:00;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 17:00;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:00;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:00;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:01;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:01;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:01;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:01;0;A;Wersja oprogramowania;;M2018/0332#00;;;
2018-03-21 17:02;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:02;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:11;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 17:11;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 17:11;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:11;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:11;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:12;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:19;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 17:21;0;A;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 17:21;0;A;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 17:22;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:22;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 17:22;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:22;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 17:30;0;A;Alarm;7;Usterka modu‘?u EOD;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 17:30;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0
2018-03-22 08:14;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-22 08:14;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-22 08:19;0;A;Alarm;7;Usterka modu‘?u EOD;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-22 08:19;0;A;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-22 09:50;0;A;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-22 09:50;0;A;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-22 09:50;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-22 09:50;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-22 09:50;0;A;Alarm;9;Zagro‘•enie po‘•arem;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 07:35;0;B;Wersja oprogramowania;;M2017/0421#00  ;;;
2018-03-21 07:35;0;B;Alarm;14;Rezerwa;Alarm nie aktywny;Pierwsza kategoria;0
2018-03-21 07:35;0;B;Zdarzenie;2;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 11:51;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 11:51;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 11:51;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie aktywne!;;0
2018-03-21 11:51;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 11:51;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 11:51;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie nie aktywne;;0
2018-03-21 11:51;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 11:51;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 13:45;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 13:45;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 13:46;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 13:47;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 13:47;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 13:47;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:07;0;B;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:07;0;B;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:07;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:07;0;B;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:07;0;B;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:07;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:07;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:08;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:08;0;B;Alarm;26;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:08;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:08;0;B;Zdarzenie;15;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:09;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:09;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:09;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie aktywne!;;0
2018-03-21 15:09;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:09;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:09;0;B;Zdarzenie;16;train detectors in track 1 are switched on/Tor 1 aktywny;Zdarzenie nie aktywne;;0
2018-03-21 15:09;0;B;Zdarzenie;20;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:09;0;B;Alarm;44;Not Recognized event;Alarm nie aktywny;Druga kategoria;0
2018-03-21 15:09;0;B;Zdarzenie;3;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:09;0;B;Zdarzenie;8;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:09;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:09;0;B;Zdarzenie;14;Not Recognized event;Zdarzenie nie aktywne;;0
2018-03-21 15:10;0;B;Zdarzenie;0;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:10;0;B;Zdarzenie;13;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:10;0;B;Alarm;9;Zagro‘•enie po‘•arem;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 15:10;0;B;Wersja oprogramowania;;M2017/0421#00  ;;;
2018-03-21 15:10;0;B;Zdarzenie;2;Not Recognized event;Zdarzenie aktywne!;;0
2018-03-21 15:23;0;B;SPA-5 Mode;;Mode: 1-Start ;;;
2018-03-21 15:23;0;B;SPA-5 Mode;;Mode: 8-Active ;;;
2018-03-21 15:23;0;B;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:23;0;B;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0
2018-03-21 15:23;0;B;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 15:23;0;B;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0
2018-03-21 15:23;0;B;Alarm;61;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0
